1#456-18,2025-06-14,16:40:26,0,PUNTUALE
0#4536-18,2025-06-14,16:41:14,0,PUNTUALE
1#450-17,2025-06-14,16:44:20,0,PUNTUALE
0#4894-17,2025-06-14,16:45:04,0,PUNTUALE
0#4537-18,2025-06-14,17:01:14,0,PUNTUALE
1#462-18,2025-06-14,17:00:26,0,PUNTUALE
1#458-15,2025-06-14,17:03:48,0,PUNTUALE
0#4770-15,2025-06-14,17:04:28,0,PUNTUALE
1#459-17,2025-06-14,17:21:26,0,PUNTUALE
0#4541-17,2025-06-14,17:22:14,0,PUNTUALE
1#457-15,2025-06-14,17:25:58,0,PUNTUALE
0#4895-15,2025-06-14,17:26:48,0,PUNTUALE
0#4768-20,2025-06-14,17:30:04,0,PUNTUALE
1#452-20,2025-06-14,17:29:20,0,PUNTUALE
0#4540-17,2025-06-14,17:43:14,0,PUNTUALE
1#453-17,2025-06-14,17:42:26,0,PUNTUALE
0#4893-20,2025-06-14,17:45:48,0,PUNTUALE
1#451-20,2025-06-14,17:44:58,0,PUNTUALE
0#4769-17,2025-06-14,17:55:04,0,PUNTUALE
1#448-17,2025-06-14,17:54:20,0,PUNTUALE
1#456-20,2025-06-14,18:04:30,0,PUNTUALE
0#4536-20,2025-06-14,18:05:24,0,PUNTUALE
1#449-17,2025-06-14,18:25:30,0,PUNTUALE
0#4539-17,2025-06-14,18:26:24,0,PUNTUALE
1#461-7,2025-06-14,18:24:58,0,PUNTUALE
0#4896-7,2025-06-14,18:25:48,0,PUNTUALE
1#460-17,2025-06-14,18:29:14,0,PUNTUALE
0#4771-17,2025-06-14,18:29:54,0,PUNTUALE
1#457-17,2025-06-14,18:44:58,0,PUNTUALE
1#459-19,2025-06-14,18:46:30,0,PUNTUALE
0#4895-17,2025-06-14,18:45:48,0,PUNTUALE
0#4541-19,2025-06-14,18:47:24,0,PUNTUALE
1#458-17,2025-06-14,19:06:20,0,PUNTUALE
1#450-19,2025-06-14,19:04:58,0,PUNTUALE
0#4894-19,2025-06-14,19:05:48,0,PUNTUALE
0#4770-17,2025-06-14,19:07:04,0,PUNTUALE
0#4537-20,2025-06-14,19:08:24,0,PUNTUALE
1#462-20,2025-06-14,19:07:30,0,PUNTUALE
1#456-22,2025-06-14,19:25:52,0,PUNTUALE
0#4536-22,2025-06-14,19:26:38,0,PUNTUALE
0#4893-22,2025-06-14,19:43:48,0,PUNTUALE
1#451-22,2025-06-14,19:42:58,0,PUNTUALE
0#4769-19,2025-06-14,19:46:04,0,PUNTUALE
1#448-19,2025-06-14,19:45:20,0,PUNTUALE
0#4540-19,2025-06-14,19:47:38,0,PUNTUALE
1#453-19,2025-06-14,19:46:52,0,PUNTUALE
1#457-9,2025-06-15,12:11:20,0,PUNTUALE
0#4895-9,2025-06-15,12:12:04,0,PUNTUALE
0#4540-11,2025-06-15,12:21:48,0,PUNTUALE
1#453-11,2025-06-15,12:20:58,0,PUNTUALE
0#4768-14,2025-06-15,12:35:04,0,PUNTUALE
1#452-14,2025-06-15,12:34:20,0,PUNTUALE
1#456-14,2025-06-15,12:40:58,0,PUNTUALE
0#4536-14,2025-06-15,12:41:48,0,PUNTUALE
1#450-13,2025-06-15,12:47:20,0,PUNTUALE
0#4894-13,2025-06-15,12:48:04,0,PUNTUALE
1#459-11,2025-06-15,13:00:58,0,PUNTUALE
0#4541-11,2025-06-15,13:01:48,0,PUNTUALE
0#4771-9,2025-06-15,13:03:04,0,PUNTUALE
1#460-9,2025-06-15,13:02:20,0,PUNTUALE
1#449-11,2025-06-15,13:20:58,0,PUNTUALE
0#4539-11,2025-06-15,13:21:48,0,PUNTUALE
0#4893-16,2025-06-15,13:29:04,0,PUNTUALE
1#458-11,2025-06-15,13:30:14,0,PUNTUALE
1#451-16,2025-06-15,13:28:20,0,PUNTUALE
0#4770-11,2025-06-15,13:30:54,0,PUNTUALE
0#4540-13,2025-06-15,13:41:48,0,PUNTUALE
1#453-13,2025-06-15,13:40:58,0,PUNTUALE
1#457-11,2025-06-15,13:48:20,0,PUNTUALE
0#4895-11,2025-06-15,13:49:04,0,PUNTUALE
0#4769-13,2025-06-15,13:59:28,0,PUNTUALE
1#448-13,2025-06-15,13:58:48,0,PUNTUALE
0#4537-14,2025-06-15,14:01:48,0,PUNTUALE
1#462-14,2025-06-15,14:00:58,0,PUNTUALE
1#461-3,2025-06-15,14:08:20,0,PUNTUALE
0#4896-3,2025-06-15,14:09:04,0,PUNTUALE
1#460-11,2025-06-15,14:17:48,0,PUNTUALE
0#4771-11,2025-06-15,14:18:28,0,PUNTUALE
1#459-13,2025-06-15,14:20:58,0,PUNTUALE
0#4541-13,2025-06-15,14:21:48,0,PUNTUALE
0#4538-9,2025-06-15,14:36:48,0,PUNTUALE
1#481-9,2025-06-15,14:35:58,0,PUNTUALE
1#450-15,2025-06-15,14:28:20,0,PUNTUALE
0#4894-15,2025-06-15,14:29:04,0,PUNTUALE
0#4768-16,2025-06-15,14:37:28,0,PUNTUALE
1#452-16,2025-06-15,14:36:48,0,PUNTUALE
1#456-16,2025-06-15,14:40:58,0,PUNTUALE
