1#4-7,2025-06-14,16:37,0,PUNTUALE
0#4-7,2025-06-14,16:37,0,PUNTUALE
0#2029-10,2025-06-14,10:16,-600,ANTICIPO
0#2320-14,2025-06-14,12:27,-1330,ANTICIPO
0#415-23,2025-06-14,22:08,-588,ANTICIPO
0#2-11,2025-06-14,18:24,0,PUNTUALE
1#1-11,2025-06-14,18:24,0,PUNTUALE
0#1-11,2025-06-14,18:33,0,PUNTUALE
1#2-11,2025-06-14,18:33,0,PUNTUALE
0#929-7,2025-06-14,19:04,0,PUNTUALE
1#930-7,2025-06-14,19:04,0,PUNTUALE
0#416-8,2025-06-14,12:41,-872,ANTICIPO
0#930-7,2025-06-14,19:27,0,PUNTUALE
1#931-7,2025-06-14,19:27,0,PUNTUALE
0#2066-11,2025-06-15,10:10,1154,RITARDATO
0#2030-12,2025-06-15,12:21,0,PUNTUALE
1#2084-12,2025-06-15,12:21,0,PUNTUALE
0#2320-14,2025-06-15,12:27,0,PUNTUALE
1#2374-14,2025-06-15,12:27,0,PUNTUALE
0#2136-22,2025-06-15,12:29,0,PUNTUALE
1#2191-22,2025-06-15,12:29,0,PUNTUALE
1#419-10,2025-06-15,12:40,0,PUNTUALE
0#417-10,2025-06-15,12:40,0,PUNTUALE
1#417-8,2025-06-15,12:41,0,PUNTUALE
0#416-8,2025-06-15,12:41,0,PUNTUALE
0#2195-8,2025-06-15,13:46,-1372,ANTICIPO
0#2362-15,2025-06-15,22:54,-532,ANTICIPO
0#5164-15,2025-06-15,05:53,-610,ANTICIPO
1#2249-8,2025-06-15,13:46,0,PUNTUALE
0#2289-14,2025-06-15,19:52,-270,ANTICIPO
0#5163-15,2025-06-15,05:38,-60,PUNTUALE
1#3-7,2025-06-15,16:08,0,PUNTUALE
0#3-7,2025-06-15,16:08,0,PUNTUALE
0#428-20,2025-06-15,00:25,-350,ANTICIPO
1#4-7,2025-06-15,16:37,0,PUNTUALE
0#4-7,2025-06-15,16:37,0,PUNTUALE
0#2346-21,2025-06-15,00:17,-212,ANTICIPO
0#4179-8,2025-06-16,05:27,-280,ANTICIPO
1#2352-10,2025-06-16,10:38,0,PUNTUALE
0#2298-10,2025-06-16,10:38,0,PUNTUALE
0#4201-8,2025-06-16,05:00,66,PUNTUALE
0#2046-11,2025-06-16,11:09,0,PUNTUALE
1#2100-11,2025-06-16,11:09,0,PUNTUALE
1#2091-11,2025-06-16,11:59,0,PUNTUALE
0#2037-11,2025-06-16,11:59,0,PUNTUALE
0#426-21,2025-06-16,00:39,-382,ANTICIPO
0#2353-8,2025-06-16,09:44,-800,ANTICIPO
0#2677-15,2025-06-16,21:34,-890,ANTICIPO
0#424-25,2025-06-16,00:51,-332,ANTICIPO
1#2249-8,2025-06-16,13:46,0,PUNTUALE
0#2195-8,2025-06-16,13:46,0,PUNTUALE
0#930-7,2025-06-16,19:27,0,PUNTUALE
1#931-7,2025-06-16,19:27,0,PUNTUALE
0#2328-22,2025-06-16,19:35,0,PUNTUALE
1#2241-20,2025-06-16,19:35,0,PUNTUALE
1#2382-22,2025-06-16,19:35,0,PUNTUALE
0#2283-45,2025-06-16,19:35,0,PUNTUALE
1#2338-45,2025-06-16,19:35,0,PUNTUALE
0#2187-20,2025-06-16,19:35,0,PUNTUALE
0#4200-23,2025-06-16,05:00,-340,ANTICIPO
1#2248-21,2025-06-16,19:39,0,PUNTUALE
0#2194-21,2025-06-16,19:39,0,PUNTUALE
1#2192-39,2025-06-16,19:41,0,PUNTUALE
0#2140-39,2025-06-16,19:41,0,PUNTUALE
0#2035-16,2025-06-16,19:44,0,PUNTUALE
1#2087-16,2025-06-16,19:44,0,PUNTUALE
1#2407-18,2025-06-16,19:47,0,PUNTUALE
0#2354-18,2025-06-16,19:47,0,PUNTUALE
1#2352-19,2025-06-16,19:49,0,PUNTUALE
0#2298-19,2025-06-16,19:49,0,PUNTUALE
0#928-8,2025-06-16,19:50,0,PUNTUALE
1#929-8,2025-06-16,19:50,0,PUNTUALE
0#2289-14,2025-06-16,19:52,0,PUNTUALE
1#2343-14,2025-06-16,19:52,0,PUNTUALE
1#2406-18,2025-06-16,19:54,0,PUNTUALE
0#2351-18,2025-06-16,19:54,0,PUNTUALE
0#2034-15,2025-06-16,19:56,0,PUNTUALE
1#2088-15,2025-06-16,19:56,0,PUNTUALE
1#2155-31,2025-06-16,19:59,0,PUNTUALE
0#2101-31,2025-06-16,19:59,0,PUNTUALE
1#2242-23,2025-06-16,20:06,0,PUNTUALE
0#2188-23,2025-06-16,20:06,0,PUNTUALE
0#2281-44,2025-06-16,20:10,0,PUNTUALE
1#2336-44,2025-06-16,20:10,0,PUNTUALE
0#2063-21,2025-06-16,20:17,0,PUNTUALE
1#2117-21,2025-06-16,20:17,0,PUNTUALE
0#2315-22,2025-06-16,20:20,0,PUNTUALE
1#2369-22,2025-06-16,20:20,0,PUNTUALE
0#2059-25,2025-06-16,20:25,0,PUNTUALE
1#2113-25,2025-06-16,20:25,0,PUNTUALE
