0#4106-14,2025-06-14,05:00,-8,PUNTUALE
0#4108-11,2025-06-15,01:45,-148,PUNTUALE
0#4105-13,2025-06-15,03:58,272,RITARDATO
0#4101-10,2025-06-15,02:32,-106,PUNTUALE
0#4101-11,2025-06-15,03:27,-764,ANTICIPO
0#4108-12,2025-06-15,02:52,-930,ANTICIPO
0#4105-14,2025-06-15,05:00,426,RITARDATO
0#4101-12,2025-06-15,04:29,-40,PUNTUALE
0#4108-14,2025-06-15,05:00,-3368,ANTICIPO
0#4123-1,2025-06-16,01:02,0,PUNTUALE
1#4252-1,2025-06-16,01:02,0,PUNTUALE
0#4110-1,2025-06-16,01:05,0,PUNTUALE
0#4111-1,2025-06-16,01:05,0,PUNTUALE
1#4241-1,2025-06-16,01:05,0,PUNTUALE
1#4242-1,2025-06-16,01:05,0,PUNTUALE
0#4100-1,2025-06-16,01:23,0,PUNTUALE
0#4101-1,2025-06-16,01:23,0,PUNTUALE
1#4230-1,2025-06-16,01:23,0,PUNTUALE
1#4229-1,2025-06-16,01:23,0,PUNTUALE
0#4117-1,2025-06-16,01:27,0,PUNTUALE
0#4118-1,2025-06-16,01:27,0,PUNTUALE
1#4247-1,2025-06-16,01:27,0,PUNTUALE
1#4246-1,2025-06-16,01:27,0,PUNTUALE
0#4102-1,2025-06-16,01:30,0,PUNTUALE
0#4103-1,2025-06-16,01:30,0,PUNTUALE
1#4232-1,2025-06-16,01:30,0,PUNTUALE
1#4233-1,2025-06-16,01:30,0,PUNTUALE
1#4231-1,2025-06-16,01:30,0,PUNTUALE
0#4112-1,2025-06-16,01:32,0,PUNTUALE
0#4113-1,2025-06-16,01:32,0,PUNTUALE
1#4243-1,2025-06-16,01:32,0,PUNTUALE
1#4240-1,2025-06-16,01:32,0,PUNTUALE
1#4239-1,2025-06-16,01:32,0,PUNTUALE
0#4105-10,2025-06-16,01:01,42,PUNTUALE
0#4111-10,2025-06-16,00:30,-96,PUNTUALE
0#4102-10,2025-06-16,00:20,-616,ANTICIPO
0#4111-11,2025-06-16,01:32,-286,ANTICIPO
0#4113-11,2025-06-16,01:32,-260,ANTICIPO
0#4105-12,2025-06-16,03:00,-86,PUNTUALE
0#4102-11,2025-06-16,01:23,-1064,ANTICIPO
0#4111-12,2025-06-16,02:29,-136,PUNTUALE
0#4105-13,2025-06-16,03:58,-714,ANTICIPO
0#4113-12,2025-06-16,02:29,38,PUNTUALE
0#4111-14,2025-06-17,04:29,-1014,ANTICIPO
0#4113-14,2025-06-17,04:29,104,PUNTUALE
