0#1754-12,2025-06-14,18:59,0,PUNTUALE
1#1808-12,2025-06-14,18:59,0,PUNTUALE
0#3799-29,2025-06-14,19:19,0,PUNTUALE
1#3919-29,2025-06-14,19:19,0,PUNTUALE
0#938-8,2025-06-14,19:24,0,PUNTUALE
1#938-8,2025-06-14,19:24,0,PUNTUALE
0#967-11,2025-06-15,12:02,-152,PUNTUALE
0#939-15,2025-06-15,12:04,0,PUNTUALE
1#939-15,2025-06-15,12:04,0,PUNTUALE
0#1757-10,2025-06-15,13:47,-534,ANTICIPO
0#981-11,2025-06-15,12:25,0,PUNTUALE
1#982-11,2025-06-15,12:25,0,PUNTUALE
0#3799-18,2025-06-15,13:33,0,PUNTUALE
1#3919-18,2025-06-15,13:33,0,PUNTUALE
1#1811-10,2025-06-15,13:47,0,PUNTUALE
0#971-10,2025-06-15,13:48,0,PUNTUALE
1#971-10,2025-06-15,13:48,0,PUNTUALE
0#2216-12,2025-06-15,21:22,-938,ANTICIPO
0#1150-19,2025-06-15,20:22,-332,ANTICIPO
0#932-13,2025-06-16,10:40,0,PUNTUALE
1#933-13,2025-06-16,10:40,0,PUNTUALE
1#949-10,2025-06-16,10:43,0,PUNTUALE
0#948-10,2025-06-16,10:43,0,PUNTUALE
0#1761-10,2025-06-16,10:57,0,PUNTUALE
1#1814-10,2025-06-16,10:57,0,PUNTUALE
0#2208-6,2025-06-16,10:59,0,PUNTUALE
1#2263-6,2025-06-16,10:59,0,PUNTUALE
0#978-7,2025-06-16,10:32,-1308,ANTICIPO
1#3930-13,2025-06-16,11:31,0,PUNTUALE
0#3809-13,2025-06-16,11:31,0,PUNTUALE
0#4700-7,2025-06-16,05:02,-358,ANTICIPO
0#3810-9,2025-06-16,10:21,-986,ANTICIPO
0#967-11,2025-06-16,12:02,0,PUNTUALE
1#967-11,2025-06-16,12:02,0,PUNTUALE
0#4699-8,2025-06-16,05:40,-248,ANTICIPO
0#938-8,2025-06-16,19:24,-220,ANTICIPO
0#3799-18,2025-06-16,13:33,0,PUNTUALE
1#3919-18,2025-06-16,13:33,0,PUNTUALE
0#1138-14,2025-06-16,00:38,-396,ANTICIPO
1#1811-10,2025-06-16,13:47,0,PUNTUALE
0#1757-10,2025-06-16,13:47,0,PUNTUALE
0#971-10,2025-06-16,13:48,0,PUNTUALE
1#971-10,2025-06-16,13:48,0,PUNTUALE
1#938-8,2025-06-16,19:24,0,PUNTUALE
0#2213-15,2025-06-16,19:38,0,PUNTUALE
1#2266-15,2025-06-16,19:38,0,PUNTUALE
0#1143-8,2025-06-16,20:22,0,PUNTUALE
1#1151-19,2025-06-16,20:22,0,PUNTUALE
1#1144-8,2025-06-16,20:22,0,PUNTUALE
0#1150-19,2025-06-16,20:22,0,PUNTUALE
0#2218-14,2025-06-16,20:27,0,PUNTUALE
1#2272-14,2025-06-16,20:27,0,PUNTUALE
0#977-19,2025-06-16,20:34,0,PUNTUALE
1#979-19,2025-06-16,20:34,0,PUNTUALE
0#2209-17,2025-06-16,20:45,0,PUNTUALE
1#2264-17,2025-06-16,20:45,0,PUNTUALE
0#1751-21,2025-06-16,20:48,0,PUNTUALE
1#1804-21,2025-06-16,20:48,0,PUNTUALE
0#1742-21,2025-06-16,20:48,0,PUNTUALE
1#1796-21,2025-06-16,20:48,0,PUNTUALE
0#935-15,2025-06-17,10:07,-210,ANTICIPO
0#2205-16,2025-06-17,23:21,-192,ANTICIPO
0#2215-15,2025-06-17,23:27,-328,ANTICIPO
0#1754-12,2025-06-17,18:59,-280,ANTICIPO
0#1748-13,2025-06-17,00:25,-614,ANTICIPO
0#931-14,2025-06-17,10:08,1290,RITARDATO
0#1137-20,2025-06-17,21:19,0,PUNTUALE
1#1138-20,2025-06-17,21:19,0,PUNTUALE
0#2216-12,2025-06-17,21:22,0,PUNTUALE
1#2270-12,2025-06-17,21:22,0,PUNTUALE
0#4700-7,2025-06-18,05:02,-98,PUNTUALE
0#978-7,2025-06-18,10:32,-48,PUNTUALE
